name,lat,lon,address,website,contact:website,contact:phone,opening_hours,operator,brand
"Unnamed (-38.3602, 145.1971)",-38.360185,145.1971492,"Stony Point Road, Crib Point, Melbourne, Shire of Mornington Peninsula, Victoria, 3919, Australia",,,,,,
"Unnamed (-37.8284, 145.1215)",-37.8284134,145.1215275,"867-879, Canterbury Road, Box Hill South, Melbourne, City of Whitehorse, Victoria, 3128, Australia",,,,,,
Majestic 1 Car Wash,-37.6859915,144.599729,"Majestic 1 Car Wash, High Street, Melton, Melbourne, City of Melton, Victoria, 3337, Australia",,,,,,
"Unnamed (-37.8485, 145.0818)",-37.8484622,145.0817899,"Toorak Road, Camberwell, Melbourne, City of Boroondara, Victoria, 3124, Australia",,,,,,
Diamond Carwash,-37.6735772,145.1516396,"Diamond Street, Diamond Creek, Melbourne, Shire of Nillumbik, Victoria, 3089, Australia",,,,,,
Reservoir Car Wash & Detailing,-37.7112786,145.0079917,"Reservoir Car Wash & Detailing, 937, High Street, Ruthven, Reservoir, Melbourne, City of Darebin, Victoria, 3073, Australia",,,,,,
"Unnamed (-37.9433, 145.1171)",-37.9433308,145.1171481,"Osborne Avenue, Clayton South, Melbourne, City of Kingston, Victoria, 3169, Australia",,,,,,
Wash,-38.1101575,145.2633226,"Wash, Cranbourne-Frankston Road, Cranbourne West, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,Wash
"Unnamed (-37.9924, 145.1609)",-37.9923835,145.160894,"415-419, Cheltenham Road, Keysborough, Melbourne, City of Greater Dandenong, Victoria, 3173, Australia",,,,,,
Auto Wash,-38.0852574,145.2948717,"Auto Wash, Narre Warren Road, Cranbourne East, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,
Brilliant Car Wash,-37.7753245,145.0898387,"Brilliant Car Wash, Balwyn Road, Bulleen, Melbourne, City of Manningham, Victoria, 3105, Australia",,,,,,
Automatic Wash,-38.0954309,145.2830063,"Automatic Wash, South Gippsland Highway Service Road, Cranbourne, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,
"Unnamed (-38.1123, 145.2705)",-38.112285,145.2704641,"Cemetery Road, Cranbourne, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,
"Unnamed (-37.7993, 145.2839)",-37.7992797,145.2839303,"Mount Dandenong Road, Croydon, Melbourne, City of Maroondah, Victoria, 3136, Australia",,,,,,
Softwash,-37.8172339,145.1144984,"7-Eleven, 786, Whitehorse Road, Mont Albert, Melbourne, City of Whitehorse, Victoria, 3127, Australia",,,,,,
"Unnamed (-37.7995, 145.1596)",-37.7995205,145.1595665,"Barbor Place, Doncaster East, Melbourne, City of Manningham, Victoria, 3109, Australia",,,,,,
